ID,P-value,Node Degree,Activity Score
C00009,0.488997612,1,1.09658805197093
C00022,0.825244477,0,0.220804734459591
C00025,0.996541506,3,5.08340875889463
C00049,0.488567238,4,4.66521168303724
C00064,0.015408576,5,7.04030425033912
C00065,0.777934199,1,0.898685171604638
C00086,0.774884414,3,2.65975664197908
C00097,0.578209969,0,0.556001295717367
C00124,0.325747138,5,4.69595104881907
C00148,0.900003382,3,3.38789107113181
C00158,0.176110152,2,5.56121579153612
C00183,4.68e-05,3,6.55652831697927
C00186,0.388237049,5,8.65347621956024
C00187,0.249084316,1,4.42067165045688
C00188,0.486817405,2,5.62925702109539
C00189,0.015661621,2,3.97211527394117
C00209,0.205730989,3,4.47676254598078
C00247,0.889312973,1,0.69278497007729
C00249,0.685709774,2,2.07930424652877
C00337,0.202938674,2,2.48646009115978
C00383,0.001082739,1,4.42067165045688
C00581,0.074138839,6,12.4339934172018
C00643,0.243352494,0,1.16664813988683
C00978,0.166025904,0,1.38508687732134
C01585,0.31492026,1,1.45187767726471
C01595,0.107491275,0,1.60957222875127
C01712,0.726025395,1,1.62364119664542
C02170,0.254443159,2,2.77899970055176
C02262,0.654928279,1,1.45187767726471
C02457,0.982948275,0,0.0213727950658261
C02497,0.537450415,1,0.898685171604638
C02679,0.490871976,1,1.3815120426788
C03046,0.708415821,4,3.05427027398359
C03752,0.623700551,2,3.6058327695261
C05145,0.57984484,4,2.97818217837231
C05984,0.526060486,1,0.638365754315227
C06156,0.599053589,0,0.525761987100591
C06418,0.748008388,0,0.321266569959989
C06424,0.706634254,1,1.06896965509702
