KEGG ID,p-value
C00009,0.488997612
C00022,0.825244477
C00025,0.996541506
C00049,0.488567238
C00064,0.015408576
C00065,0.777934199
C00086,0.774884414
C00097,0.578209969
C00124,0.325747138
C00148,0.900003382
C00158,0.176110152
C00183,4.68E-05
C00186,0.388237049
C00187,0.249084316
C00188,0.486817405
C00189,0.015661621
C00209,0.205730989
C00247,0.889312973
C00249,0.685709774
C00337,0.202938674
C00383,0.001082739
C00581,0.074138839
C00643,0.243352494
C00978,0.166025904
C01585,0.31492026
C01595,0.107491275
C01712,0.726025395
C02170,0.254443159
C02262,0.654928279
C02457,0.982948275
C02497,0.537450415
C02679,0.490871976
C03046,0.708415821
C03752,0.623700551
C05145,0.57984484
C05984,0.526060486
C06156,0.599053589
C06418,0.748008388
C06424,0.706634254
